계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201906,43431,19,2089,2*,대,보전녹지지역,8m미만,152.0000,32000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201906,43432,19,2089,2*,대,보전녹지지역,8m미만,415.0000,80000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201909,38003,11,2089,산4*,임야,보전녹지지역,-,3422.0000,42000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201909,38004,16,2089,산*,임야,보전녹지지역,-,330.0000,1980.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41712,05,2087,산2*,임야,보전녹지지역,8m미만,83.0000,3000.0000,지분,-,-,,경기도 성남시분당구 이매동,4113510600
201908,41723,06,2089,산*,임야,보전녹지지역,-,168.0000,1010.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41724,11,2089,1*,전,보전녹지지역,8m미만,838.0000,180000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41725,11,2089,1*,전,보전녹지지역,8m미만,839.0000,180000.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41726,20,2089,산4*,임야,보전녹지지역,-,105.0000,5120.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41727,20,2089,산4*,임야,보전녹지지역,-,33.0000,1600.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201908,41728,21,2089,2*,답,보전녹지지역,-,680.0000,68928.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46704,17,2087,7*,도로,자연녹지지역,-,93.0000,2000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201910,46705,30,2087,5*,전,보전녹지지역,-,356.0000,20000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201910,46709,01,2089,4**,전,보전녹지지역,-,20.0000,2223.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46710,01,2089,4**,전,보전녹지지역,8m미만,26.0000,2937.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
201910,46711,01,2089,4**,전,보전녹지지역,-,22.0000,2461.0000,지분,-,-,,경기도 성남시분당구 금곡동,4113511100
