계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
202401,981,26,2088,150,집합,판교로,근린상업,공장,25m이상,301.8200,197.4400,110000.0000,3,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202403,1004,29,2086,275,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,6567.8000,7.4700,1500.0000,,지분,1997,-,직거래,경기도 성남시분당구 서현동,4113510500
202404,1022,05,2086,275,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,6567.8000,7.4700,1500.0000,,지분,,-,직거래,경기도 성남시분당구 서현동,4113510500
202404,1023,24,2086,275,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,6567.8000,7.4700,1500.0000,,지분,1997,-,직거래,경기도 성남시분당구 서현동,4113510500
202404,1024,08,2086,275,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,6567.8000,7.4700,1500.0000,,지분,1997,-,직거래,경기도 성남시분당구 서현동,4113510500
202404,1025,02,2088,151,집합,판교로,기타,창고시설,25m이상,77.3500,47.5000,13800.0000,,,1994,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202404,1026,25,2088,151,집합,판교로,기타,창고시설,25m이상,77.3500,47.5000,13800.0000,,,1994,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202404,1027,26,2088,151,집합,판교로,일반공업,창고시설,25m이상,77.3500,47.5000,14000.0000,,,1994,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202405,898,22,2088,151,집합,판교로,근린상업,공장,25m이상,149.1000,92.0900,51300.0000,8,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202406,321,20,18828,150,집합,판교로,근린상업,공장,25m이상,149.1000,0.0000,55600.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202406,487,17,19041,150,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,1832.0500,0.0000,5000.0000,,지분,,-,중개거래,경기도 성남시 분당구 금곡동,4113511100
202406,931,04,18828,4**,일반,탄천로,근린상업,창고시설,25m미만,70546.8600,14192.1000,22265300.0000,,,2023,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202406,932,04,18828,151,집합,판교로,근린상업,공장,25m이상,54.9500,0.0000,8000.0000,,,1994,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202408,863,02,18828,148,집합,판교로,근린상업,공장,25m이상,301.8200,0.0000,106000.0000,9,,,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202409,888,02,19824,694-1,집합,대왕판교로,준주거,공장,25m이상,254.2900,0.0000,286220.0000,,,2011,-,직거래,경기도 성남시 분당구 삼평동,4113510900
202410,631,14,18828,503,집합,야탑로,근린상업,자동차 관련시설,25m이상,4407.6000,0.0000,1800.0000,,지분,1997,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202411,102,28,19041,150,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,1832.0500,0.0000,1000.0000,,지분,1999,-,중개거래,경기도 성남시 분당구 금곡동,4113511100
202411,325,20,19041,3**,일반,대왕판교로,보전녹지,자동차 관련시설,-,185.3000,940.0000,300000.0000,,,2024,-,직거래,경기도 성남시 분당구 금곡동,4113511100
202411,808,06,19900,3**,일반,대왕판교로351번길,보전녹지,자동차 관련시설,8m미만,193.5600,975.0000,389114.0000,,,2005,-,직거래,경기도 성남시 분당구 궁내동,4113511200
202412,486,19,19163,275,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,16744.4900,0.0000,1000000.0000,,,1997,-,직거래,경기도 성남시 분당구 서현동,4113510500
202412,946,06,18828,151,집합,판교로,근린상업,창고시설,25m이상,77.3500,0.0000,10549.0000,,,1994,-,직거래,경기도 성남시 분당구 야탑동,4113510700
202501,379,15,18828,145,집합,판교로,근린상업,공장,25m이상,150.9100,0.0000,54114.0000,8,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202501,381,15,18828,145,집합,판교로,근린상업,공장,25m이상,150.9100,0.0000,54114.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202502,254,24,18828,150,집합,판교로,근린상업,공장,25m이상,243.9900,0.0000,73000.0000,1,,,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202502,257,24,18828,151,집합,판교로,근린상업,공장,25m이상,150.9100,0.0000,52800.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202502,258,24,18828,151,집합,판교로,근린상업,공장,25m이상,150.9100,0.0000,52800.0000,,,1994,-,중개거래,경기도 성남시 분당구 야탑동,4113510700
202502,897,05,19041,9*,일반,대왕판교로,보전녹지,자동차 관련시설,8m미만,1995.2700,1495.0000,1150000.0000,,,,-,중개거래,경기도 성남시 분당구 금곡동,4113511100
