계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201706,7509,14,2086,9*,집합,중앙공원로40번길,준주거,제2종근린생활,25m미만,24.0000,0.0000,63500.0000,1,,1991,-,,경기도 성남시분당구 서현동,4113510500
201706,7510,16,2086,8*,집합,중앙공원로39번길,근린상업,제2종근린생활,25m미만,86.0000,0.0000,60000.0000,2,,2003,-,,경기도 성남시분당구 서현동,4113510500
201706,7511,22,2086,2**,집합,서현로210번길,중심상업,제2종근린생활,25m미만,106.0000,0.0000,41000.0000,3,,1996,-,,경기도 성남시분당구 서현동,4113510500
201706,7512,29,2086,2**,집합,분당로201번길,제3종일반주거,제1종근린생활,25m미만,29.0000,0.0000,27800.0000,,,1992,-,,경기도 성남시분당구 서현동,4113510500
201706,7513,30,2086,9*,집합,중앙공원로40번길,준주거,제2종근린생활,25m미만,21.0000,0.0000,10000.0000,,,1991,-,,경기도 성남시분당구 서현동,4113510500
201706,7514,28,2087,9*,집합,판교로,근린상업,제2종근린생활,25m이상,18.0000,0.0000,18300.0000,1,,1997,-,,경기도 성남시분당구 이매동,4113510600
201706,7515,06,2087,1**,집합,탄천로,제3종일반주거,제1종근린생활,25m이상,86.0000,0.0000,10000.0000,,지분,1993,-,,경기도 성남시분당구 이매동,4113510600
201706,7516,28,2087,1**,집합,성남대로779번길,근린상업,제1종근린생활,25m이상,109.0000,0.0000,22500.0000,,,1994,-,,경기도 성남시분당구 이매동,4113510600
201706,7517,24,2088,2**,집합,야탑로205번길,일반상업,업무,25m미만,94.0000,0.0000,27000.0000,7,,2005,-,,경기도 성남시분당구 야탑동,4113510700
201706,7518,02,2088,5**,집합,야탑로,근린상업,판매,25m이상,4.0000,0.0000,200.0000,,지분,1997,-,,경기도 성남시분당구 야탑동,4113510700
201706,7519,05,2088,3**,집합,장미로,중심상업,제2종근린생활,25m이상,49.0000,0.0000,59000.0000,1,,2004,-,,경기도 성남시분당구 야탑동,4113510700
201706,7520,06,2088,3**,집합,장미로,제3종일반주거,제2종근린생활,25m미만,68.0000,0.0000,25300.0000,3,,1993,-,,경기도 성남시분당구 야탑동,4113510700
201706,7521,02,2088,5**,집합,야탑로,근린상업,판매,25m이상,12.0000,0.0000,1500.0000,,지분,1997,-,,경기도 성남시분당구 야탑동,4113510700
201706,7522,09,2088,3**,집합,성남대로925번길,중심상업,기타,25m미만,22.0000,0.0000,6242.0000,,지분,1998,-,,경기도 성남시분당구 야탑동,4113510700
201706,7523,02,2088,2**,집합,장미로,일반상업,제2종근린생활,25m이상,35.0000,0.0000,40000.0000,,,2004,-,,경기도 성남시분당구 야탑동,4113510700
201706,7524,08,3024,7**,집합,대왕판교로606번길,근린상업,판매,25m이상,38.0000,0.0000,81000.0000,,,2013,-,,경기도 성남시분당구 삼평동,4113510900
201706,7525,13,3024,6**,집합,판교로255번길,준주거,제1종근린생활,25m미만,27.0000,0.0000,70000.0000,1,,2011,-,,경기도 성남시분당구 삼평동,4113510900
201706,7526,30,3024,6**,집합,분당내곡로,중심상업,업무,25m이상,82.0000,0.0000,61700.0000,9,,2013,-,,경기도 성남시분당구 삼평동,4113510900
201706,7527,08,3024,7**,집합,대왕판교로606번길,근린상업,판매,25m이상,38.0000,0.0000,79000.0000,,,2013,-,,경기도 성남시분당구 삼평동,4113510900
201706,7528,15,3024,6**,집합,판교역로192번길,중심상업,교육연구,25m미만,53.0000,0.0000,32750.0000,7,,2011,-,,경기도 성남시분당구 삼평동,4113510900
201706,7529,30,3024,6**,집합,분당내곡로,중심상업,업무,25m이상,82.0000,0.0000,61700.0000,9,,2013,-,,경기도 성남시분당구 삼평동,4113510900
201706,7530,22,3024,7**,집합,대왕판교로606번길,근린상업,판매,25m이상,147.0000,0.0000,198341.0000,,,2013,-,,경기도 성남시분당구 삼평동,4113510900
201706,7531,09,2089,2**,집합,정자일로,중심상업,업무,25m이상,120.0000,0.0000,57000.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7532,17,2089,2**,집합,정자일로,중심상업,업무,25m이상,120.0000,0.0000,55000.0000,,,2001,-,,경기도 성남시분당구 금곡동,4113511100
201706,7533,19,2089,1**,집합,성남대로,중심상업,제2종근린생활,25m이상,103.0000,0.0000,39000.0000,2,,2004,-,,경기도 성남시분당구 금곡동,4113511100
