관리_건축물대장_PK,대지_면적,연면적,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치,시군구명,번지
10891123561,1613.0,648.16,단독주택,다가구주택(4가구),경기도 성남시 분당구 이매동 60번지,경기도 성남시 분당구 방아로46번길 20 (이매동),경기도 성남시 분당구 이매동,6*
10891123562,0.0,45.8,종교시설,주차타워,경기도 성남시 분당구 서현동 321번지,경기도 성남시 분당구 불정로 402 (서현동),경기도 성남시 분당구 서현동,3**
10891123563,1800.5,3443.25,종교시설,종교시설,경기도 성남시 분당구 서현동 321번지,경기도 성남시 분당구 불정로 402 (서현동),경기도 성남시 분당구 서현동,3**
10891123564,176.6,353.04,단독주택,다가구주택,경기도 성남시 분당구 서현동 84-11번지,경기도 성남시 분당구 서현로237번길 14 (서현동),경기도 성남시 분당구 서현동,8*
10891123565,200.2,385.0,단독주택,다가구주택(3가구),경기도 성남시 분당구 정자동 230-9번지,경기도 성남시 분당구 불곡남로17번길 4 (정자동),경기도 성남시 분당구 정자동,2**
10891123566,4514.0,4933.38,공동주택,연립주택(16세대),경기도 성남시 분당구 금곡동 67-14번지,경기도 성남시 분당구 쇳골북로32번길 6 (금곡동),경기도 성남시 분당구 금곡동,6*
10891123567,522.6,2388.01,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",경기도 성남시 분당구 야탑동 382-7번지,경기도 성남시 분당구 매화로 41 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123568,252.8,483.78,단독주택,다가구주택(3가구),경기도 성남시 분당구 분당동 104-5번지,경기도 성남시 분당구 서현로429번길 12-7 (분당동),경기도 성남시 분당구 분당동,1**
10891123569,231.0,440.22,단독주택,다가구주택및 근린생활시설,경기도 성남시 분당구 정자동 136-1번지,경기도 성남시 분당구 내정로17번길 15 (정자동),경기도 성남시 분당구 정자동,1**
10891123570,12206.7,6589.14,교육연구시설,교육연구시설(초등학교),경기도 성남시 분당구 정자동 76번지,경기도 성남시 분당구 백현로144번길 26 (정자동),경기도 성남시 분당구 정자동,7*
10891123571,421.2,1660.57,제1종근린생활시설,근린생활시설,경기도 성남시 분당구 정자동 130-5번지,경기도 성남시 분당구 정자로76번길 13 (정자동),경기도 성남시 분당구 정자동,1**
10891123572,224.4,427.8,단독주택,단독주택(11가구),경기도 성남시 분당구 분당동 122-6번지,경기도 성남시 분당구 서현로494번길 14-1 (분당동),경기도 성남시 분당구 분당동,1**
10891123573,227.9,453.9,단독주택,다가구주택 및 근린생활시설,경기도 성남시 분당구 분당동 97-9번지,경기도 성남시 분당구 불정로420번길 42 (분당동),경기도 성남시 분당구 분당동,9*
10891123574,639.0,114.02,단독주택,주택,경기도 성남시 분당구 동원동 310-2번지,경기도 성남시 분당구 동막로202번길 18-6 (동원동),경기도 성남시 분당구 동원동,3**
10891123575,661.7,3048.8,제2종근린생활시설,근린생활시설,경기도 성남시 분당구 야탑동 274-3번지,경기도 성남시 분당구 벌말로 33 (야탑동),경기도 성남시 분당구 야탑동,2**
10891123576,1180.0,787.0,제2종근린생활시설,주유소,경기도 성남시 분당구 서현동 252번지,경기도 성남시 분당구 황새울로359번길 3 (서현동),경기도 성남시 분당구 서현동,2**
10891123577,0.0,105.06,단독주택,주택,경기도 성남시 분당구 판교동 170-23번지,,경기도 성남시 분당구 판교동,1**
10891123578,236.5,469.72,단독주택,다가구 주택(7가구),경기도 성남시 분당구 정자동 241-8번지,경기도 성남시 분당구 불곡북로 19 (정자동),경기도 성남시 분당구 정자동,2**
10891123580,1313.0,11050.81,교육연구시설,"제1종근린생활시설,교육연구시설",경기도 성남시 분당구 정자동 17-4번지,경기도 성남시 분당구 정자일로198번길 15 (정자동),경기도 성남시 분당구 정자동,1*
10891123582,509.0,532.48,공동주택,공동주택,경기도 성남시 분당구 이매동 305-2번지,경기도 성남시 분당구 이매로 139 (이매동),경기도 성남시 분당구 이매동,3**
10891123583,194.9,375.91,단독주택,다가구주택,경기도 성남시 분당구 수내동 114-16번지,경기도 성남시 분당구 발이봉북로31번길 5 (수내동),경기도 성남시 분당구 수내동,1**
10891123584,229.0,450.72,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 구미동 36-5번지,경기도 성남시 분당구 성남대로144번길 18-6 (구미동),경기도 성남시 분당구 구미동,3*
10891123585,225.1,445.36,단독주택,다가구주택,경기도 성남시 분당구 정자동 62-12번지,경기도 성남시 분당구 느티로77번길 10-3 (정자동),경기도 성남시 분당구 정자동,6*
10891123586,577.41,1670.34,제2종근린생활시설,제2종근린생활시설,경기도 성남시 분당구 수내동 12-1번지,경기도 성남시 분당구 황새울로240번길 12 (수내동),경기도 성남시 분당구 수내동,1*
10891123587,732.4,4094.43,제1종근린생활시설,제1종근린생활시설,경기도 성남시 분당구 수내동 7-8번지,경기도 성남시 분당구 황새울로258번길 36 (수내동),경기도 성남시 분당구 수내동,*
10891123588,199.0,369.76,단독주택,주택및근린생활시설,경기도 성남시 분당구 정자동 223-5번지,경기도 성남시 분당구 불곡남로7번길 4-1 (정자동),경기도 성남시 분당구 정자동,2**
10891123589,906.4,5550.88,제1종근린생활시설,근린생활시설.판매시설,경기도 성남시 분당구 서현동 247-3번지,경기도 성남시 분당구 황새울로360번길 26 (서현동),경기도 성남시 분당구 서현동,2**
