계약년월,거래구분,번호,계약일,시군구일련번호,번지,주택유형,도로조건,연면적_x,대지면적,거래금액,월세,건축년도,도로명,해제사유발생일,거래유형,시군구명,법정동코드,실거래ID,관리_건축물대장_PK,대지_면적,연면적_y,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100229047,231.0,215.59,단독주택,단독주택(다가구주택),경기도 성남시 분당구 운중동 982-9번지,경기도 성남시 분당구 산운로159번길 3-5 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233347,411.4,439.89,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-12번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100229419,264.1,457.91,단독주택,"단독주택(다가구주택),제2종근린생활시설",경기도 성남시 분당구 운중동 969-7번지,경기도 성남시 분당구 산운로160번길 16-6 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233123,335.1,413.5,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-27번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233124,365.6,430.79,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-28번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233107,443.4,475.94,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-11번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233337,590.3,696.55,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-2번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233338,596.7,675.1,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-3번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233339,434.7,429.71,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-4번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233340,435.3,425.85,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-5번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233341,463.7,442.93,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-6번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233342,491.2,441.24,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-7번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233336,510.5,640.53,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-1번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100232836,264.7,455.81,단독주택,단독주택(다가구주택3가구),경기도 성남시 분당구 운중동 970-7번지,경기도 성남시 분당구 산운로160번길 20-6 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100229579,231.2,297.02,단독주택,단독주택,경기도 성남시 분당구 운중동 982-11번지,경기도 성남시 분당구 산운로159번길 3-1 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100229758,228.7,219.66,단독주택,단독주택,경기도 성남시 분당구 운중동 984-10번지,경기도 성남시 분당구 산운로159번길 7 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100230396,319.8,572.75,단독주택,"단독주택(다가구주택),제1종근린생활시설",경기도 성남시 분당구 운중동 970-4번지,경기도 성남시 분당구 산운로160번길 18 (운중동)
